title,word_count,full_url,source,source_url
Cockpit is a web-based graphical interface for servers,0,https://github.com/cockpit-project/cockpit,hacker_news,https://news.ycombinator.com/
Astral to Join OpenAI,0,https://astral.sh/blog/openai,hacker_news,https://news.ycombinator.com/
Google details new 24-hour process to sideload unverified Android apps,0,https://arstechnica.com/gadgets/2026/03/google-details-new-24-hour-process-to-sideload-unverified-android-apps/,hacker_news,https://news.ycombinator.com/
Return of the Obra Dinn: spherical mapped dithering for a 1bpp first-person game,0,https://forums.tigsource.com/index.php?topic=40832.msg1363742#msg1363742,hacker_news,https://news.ycombinator.com/
How the Turner twins are mythbusting modern technical apparel,0,https://www.carryology.com/insights/how-the-turner-twins-are-mythbusting-modern-gear/,hacker_news,https://news.ycombinator.com/
Show HN: Three new Kitten TTS models – smallest less than 25MB,0,https://github.com/KittenML/KittenTTS,hacker_news,https://news.ycombinator.com/
EsoLang-Bench: Evaluating Genuine Reasoning in LLMs via Esoteric Languages,0,https://esolang-bench.vercel.app/,hacker_news,https://news.ycombinator.com/
Be intentional about how AI changes your codebase,0,https://aicode.swerdlow.dev,hacker_news,https://news.ycombinator.com/
Noq: n0's new QUIC implementation in Rust,0,https://www.iroh.computer/blog/noq-announcement,hacker_news,https://news.ycombinator.com/
Waymo Safety Impact,0,https://waymo.com/safety/impact/,hacker_news,https://news.ycombinator.com/
From Oscilloscope to Wireshark: A UDP Story (2022),0,https://www.mattkeeter.com/blog/2022-08-11-udp/,hacker_news,https://news.ycombinator.com/
Clockwise acquired by Salesforce and shutting down next week,0,https://www.getclockwise.com,hacker_news,https://news.ycombinator.com/
NanoGPT Slowrun: 10x Data Efficiency with Infinite Compute,0,https://qlabs.sh/10x,hacker_news,https://news.ycombinator.com/
4Chan mocks £520k fine for UK online safety breaches,0,https://www.bbc.com/news/articles/c624330lg1ko,hacker_news,https://news.ycombinator.com/
Launch HN: Voltair (YC W26) – Drone and charging network for power utilities,0,https://news.ycombinator.com/item?id=47442452,hacker_news,https://news.ycombinator.com/
“Your frustration is the product”,0,https://daringfireball.net/2026/03/your_frustration_is_the_product,hacker_news,https://news.ycombinator.com/
Scaling Karpathy's Autoresearch: What Happens When the Agent Gets a GPU Cluster,0,https://blog.skypilot.co/scaling-autoresearch/,hacker_news,https://news.ycombinator.com/
OpenBSD: PF queues break the 4 Gbps barrier,0,https://undeadly.org/cgi?action=article;sid=20260319125859,hacker_news,https://news.ycombinator.com/
Juggalo makeup blocks facial recognition technology (2019),0,https://consequence.net/2019/07/juggalo-makeup-facial-recognition/,hacker_news,https://news.ycombinator.com/
An update on Steam / GOG changes for OpenTTD,0,https://www.openttd.org/news/2026/03/19/steam-changes-update,hacker_news,https://news.ycombinator.com/
Tesla: Failure of the FSD's degradation detection system [pdf],0,https://static.nhtsa.gov/odi/inv/2026/INOA-EA26002-10023.pdf,hacker_news,https://news.ycombinator.com/
The Need for an Independent AI Grid,0,https://amppublic.com/,hacker_news,https://news.ycombinator.com/
The Shape of Inequalities,0,https://www.andreinc.net/2026/03/16/the-shape-of-inequalities/,hacker_news,https://news.ycombinator.com/
"Xiaomi launches next-gen SU7 with 902 km range and Lidar, still undercuts Tesla",0,https://electrek.co/2026/03/19/xiaomi-launches-next-gen-su7-902-km-range-undercuts-tesla/,hacker_news,https://news.ycombinator.com/
macOS 26 breaks custom DNS settings including .internal,0,https://gist.github.com/adamamyl/81b78eced40feae50eae7c4f3bec1f5a,hacker_news,https://news.ycombinator.com/
Connecticut and the 1 Kilometer Effect,0,https://alearningaday.blog/2026/03/19/connecticut-and-the-1-kilometer-effect/,hacker_news,https://news.ycombinator.com/
Anthropic takes legal action against OpenCode,0,https://github.com/anomalyco/opencode/pull/18186,hacker_news,https://news.ycombinator.com/
Successes and Breakdowns in Everyday Non-Display Smart Glasses Use,0,https://arxiv.org/abs/2602.22340,hacker_news,https://news.ycombinator.com/
Afroman found not liable in defamation case,0,https://nypost.com/2026/03/18/us-news/afroman-found-not-liable-in-bizarre-ohio-defamation-case/,hacker_news,https://news.ycombinator.com/
Launch HN: Canary (YC W26) – AI QA that understands your code,0,https://news.ycombinator.com/item?id=47441629,hacker_news,https://news.ycombinator.com/
